gene,rank,tissue
GNG7,98,Anterior Cingulate Cortex
ATP1A2,99,Anterior Cingulate Cortex
SORBS1,100,Anterior Cingulate Cortex
MALAT1,1,Basilar Artery / Circle of Willis
PDE4D,2,Basilar Artery / Circle of Willis
PRKG1,3,Basilar Artery / Circle of Willis
MYH11,4,Basilar Artery / Circle of Willis
LPP,5,Basilar Artery / Circle of Willis
NEAT1,6,Basilar Artery / Circle of Willis
TAGLN,7,Basilar Artery / Circle of Willis
CALD1,8,Basilar Artery / Circle of Willis
ACTA2,9,Basilar Artery / Circle of Willis
CEMIP,10,Basilar Artery / Circle of Willis
SORBS1,11,Basilar Artery / Circle of Willis
COL4A1,12,Basilar Artery / Circle of Willis
DMD,13,Basilar Artery / Circle of Willis
RORA,14,Basilar Artery / Circle of Willis
MYL9,15,Basilar Artery / Circle of Willis
TPM2,16,Basilar Artery / Circle of Willis
CACNA1C,17,Basilar Artery / Circle of Willis
MIR99AHG,18,Basilar Artery / Circle of Willis
SORBS2,19,Basilar Artery / Circle of Willis
KCNMA1,20,Basilar Artery / Circle of Willis
TALAM1,21,Basilar Artery / Circle of Willis
DSTN,22,Basilar Artery / Circle of Willis
ACTB,23,Basilar Artery / Circle of Willis
LTBP1,24,Basilar Artery / Circle of Willis
RBPMS,25,Basilar Artery / Circle of Willis
RBMS3,26,Basilar Artery / Circle of Willis
COL4A2,27,Basilar Artery / Circle of Willis
ESYT2,28,Basilar Artery / Circle of Willis
SYNPO2,29,Basilar Artery / Circle of Willis
MACF1,30,Basilar Artery / Circle of Willis
EEF1A1,31,Basilar Artery / Circle of Willis
ARL15,32,Basilar Artery / Circle of Willis
TPM1,33,Basilar Artery / Circle of Willis
VIM,34,Basilar Artery / Circle of Willis
CRIM1,35,Basilar Artery / Circle of Willis
EBF1,36,Basilar Artery / Circle of Willis
PTPRG,37,Basilar Artery / Circle of Willis
KAZN,38,Basilar Artery / Circle of Willis
IGFBP7,39,Basilar Artery / Circle of Willis
PDE3A,40,Basilar Artery / Circle of Willis
ZFHX3,41,Basilar Artery / Circle of Willis
ZBTB20,42,Basilar Artery / Circle of Willis
FOXP1,43,Basilar Artery / Circle of Willis
SOX5,44,Basilar Artery / Circle of Willis
AKAP12,45,Basilar Artery / Circle of Willis
RGS6,46,Basilar Artery / Circle of Willis
CARMN,47,Basilar Artery / Circle of Willis
LAMA2,48,Basilar Artery / Circle of Willis
WWOX,49,Basilar Artery / Circle of Willis
IGF1R,50,Basilar Artery / Circle of Willis
FLNA,51,Basilar Artery / Circle of Willis
FTX,52,Basilar Artery / Circle of Willis
SPARCL1,53,Basilar Artery / Circle of Willis
SLIT3,54,Basilar Artery / Circle of Willis
PDZRN4,55,Basilar Artery / Circle of Willis
FN1,56,Basilar Artery / Circle of Willis
GPC6,57,Basilar Artery / Circle of Willis
ADAMTS9-AS2,58,Basilar Artery / Circle of Willis
SVIL,59,Basilar Artery / Circle of Willis
EXT1,60,Basilar Artery / Circle of Willis
NFIA,61,Basilar Artery / Circle of Willis
DLG2,62,Basilar Artery / Circle of Willis
LMOD1,63,Basilar Artery / Circle of Willis
SAMD4A,64,Basilar Artery / Circle of Willis
ATP1B3,65,Basilar Artery / Circle of Willis
PDLIM5,66,Basilar Artery / Circle of Willis
FRY,67,Basilar Artery / Circle of Willis
DST,68,Basilar Artery / Circle of Willis
PPP1R12B,69,Basilar Artery / Circle of Willis
IMMP2L,70,Basilar Artery / Circle of Willis
MBNL1,71,Basilar Artery / Circle of Willis
C1QTNF7-AS1,72,Basilar Artery / Circle of Willis
TRIO,73,Basilar Artery / Circle of Willis
NAV2,74,Basilar Artery / Circle of Willis
RYR2,75,Basilar Artery / Circle of Willis
LRP1B,76,Basilar Artery / Circle of Willis
MECOM,77,Basilar Artery / Circle of Willis
ARHGAP10,78,Basilar Artery / Circle of Willis
ETV6,79,Basilar Artery / Circle of Willis
AOPEP,80,Basilar Artery / Circle of Willis
ELL2,81,Basilar Artery / Circle of Willis
NTRK3,82,Basilar Artery / Circle of Willis
ADAMTS1,83,Basilar Artery / Circle of Willis
BNC2,84,Basilar Artery / Circle of Willis
RHOB,85,Basilar Artery / Circle of Willis
TACC1,86,Basilar Artery / Circle of Willis
FBXO32,87,Basilar Artery / Circle of Willis
FBXL7,88,Basilar Artery / Circle of Willis
THSD4,89,Basilar Artery / Circle of Willis
UTRN,90,Basilar Artery / Circle of Willis
PARD3,91,Basilar Artery / Circle of Willis
SIK3,92,Basilar Artery / Circle of Willis
TJP1,93,Basilar Artery / Circle of Willis
SETBP1,94,Basilar Artery / Circle of Willis
USP53,95,Basilar Artery / Circle of Willis
PARD3B,96,Basilar Artery / Circle of Willis
PRUNE2,97,Basilar Artery / Circle of Willis
MAGI2,98,Basilar Artery / Circle of Willis
SDK1,99,Basilar Artery / Circle of Willis
MIR100HG,100,Basilar Artery / Circle of Willis
MALAT1,1,Cerebellum
PCDH9,2,Cerebellum
GRID2,3,Cerebellum
RNF220,4,Cerebellum
DST,5,Cerebellum
RBFOX1,6,Cerebellum
LINC00486,7,Cerebellum
PPP2R2B,8,Cerebellum
MACF1,9,Cerebellum
IL1RAPL1,10,Cerebellum
NEAT1,11,Cerebellum
CTNNA3,12,Cerebellum
QKI,13,Cerebellum
DPP6,14,Cerebellum
ANK2,15,Cerebellum
DLG2,16,Cerebellum
NTM,17,Cerebellum
MAGI2,18,Cerebellum
SYNE1,19,Cerebellum
GNG7,20,Cerebellum
FMNL2,21,Cerebellum
NPAS3,22,Cerebellum
LSAMP,23,Cerebellum
SLC5A11,24,Cerebellum
LUC7L3,25,Cerebellum
NRXN3,26,Cerebellum
ST18,27,Cerebellum
PDE4B,28,Cerebellum
PITPNC1,29,Cerebellum
LINC00632,30,Cerebellum
KCNIP4,31,Cerebellum
XYLT1,32,Cerebellum
SORBS1,33,Cerebellum
RORA,34,Cerebellum
CADM2,35,Cerebellum
SLC24A2,36,Cerebellum
MT-CO3,37,Cerebellum
TRPM3,38,Cerebellum
MBP,39,Cerebellum
SLC4A4,40,Cerebellum
TRIM2,41,Cerebellum
LRP1B,42,Cerebellum
FGF14,43,Cerebellum
MT-CO2,44,Cerebellum
ELMO1,45,Cerebellum
NCKAP5,46,Cerebellum
DTNA,47,Cerebellum
ADGRL3,48,Cerebellum
ADGRB3,49,Cerebellum
ZBTB20,50,Cerebellum
PTPRG,51,Cerebellum
FRMD5,52,Cerebellum
ARGLU1,53,Cerebellum
POLR2F,54,Cerebellum
SLC44A1,55,Cerebellum
PRKCA,56,Cerebellum
GRIA1,57,Cerebellum
LAMA2,58,Cerebellum
SAMD4A,59,Cerebellum
CTNND2,60,Cerebellum
RBM25,61,Cerebellum
MT-ND4,62,Cerebellum
FLT1,63,Cerebellum
MAP7,64,Cerebellum
NKAIN2,65,Cerebellum
AGAP1,66,Cerebellum
MT-CO1,67,Cerebellum
SIK3,68,Cerebellum
GPM6A,69,Cerebellum
DGKG,70,Cerebellum
PTPRD,71,Cerebellum
PRRC2C,72,Cerebellum
DOCK10,73,Cerebellum
DSCAM,74,Cerebellum
WWOX,75,Cerebellum
MT-ND3,76,Cerebellum
RBFOX3,77,Cerebellum
DLC1,78,Cerebellum
PIP4K2A,79,Cerebellum
ST6GALNAC3,80,Cerebellum
TNR,81,Cerebellum
MAP1B,82,Cerebellum
KAZN,83,Cerebellum
MSI2,84,Cerebellum
SGIP1,85,Cerebellum
CACNA1A,86,Cerebellum
KIRREL3,87,Cerebellum
FRMD4B,88,Cerebellum
LMCD1-AS1,89,Cerebellum
PDZD2,90,Cerebellum
NCAM2,91,Cerebellum
JMJD1C,92,Cerebellum
GRIA4,93,Cerebellum
TIAM1,94,Cerebellum
FRMD4A,95,Cerebellum
FTX,96,Cerebellum
DOCK4,97,Cerebellum
MT-ATP6,98,Cerebellum
NLGN1,99,Cerebellum
PDE4D,100,Cerebellum
MALAT1,1,Choroid Plexus
TRPM3,2,Choroid Plexus
HTR2C,3,Choroid Plexus
SYNE1,4,Choroid Plexus
KAZN,5,Choroid Plexus
GRM8,6,Choroid Plexus
NWD1,7,Choroid Plexus
ENSG00000258312,8,Choroid Plexus
DPP6,9,Choroid Plexus
CRPPA,10,Choroid Plexus
LRP1B,11,Choroid Plexus
RBM47,12,Choroid Plexus
AGBL4,13,Choroid Plexus
KCNMA1,14,Choroid Plexus
CEMIP,15,Choroid Plexus
TRMT9B,16,Choroid Plexus
MSI2,17,Choroid Plexus
PRLR,18,Choroid Plexus
NEAT1,19,Choroid Plexus
PDZD2,20,Choroid Plexus
PNISR,21,Choroid Plexus
SYNE2,22,Choroid Plexus
PTPRG,23,Choroid Plexus
HSP90AA1,24,Choroid Plexus
SHANK2,25,Choroid Plexus
SH3D19,26,Choroid Plexus
RORA,27,Choroid Plexus
FOXP1,28,Choroid Plexus
SLC13A4,29,Choroid Plexus
STOX2,30,Choroid Plexus
HDAC9,31,Choroid Plexus
PRKG1,32,Choroid Plexus
OTX2-AS1,33,Choroid Plexus
MT-CO2,34,Choroid Plexus
PDZRN3,35,Choroid Plexus
PLD5,36,Choroid Plexus
PHACTR2,37,Choroid Plexus
GALNT17,38,Choroid Plexus
LDLRAD4,39,Choroid Plexus
TSC22D1,40,Choroid Plexus
KIAA1217,41,Choroid Plexus
TENM2,42,Choroid Plexus
EIF4G3,43,Choroid Plexus
ATP2B2,44,Choroid Plexus
AHCYL2,45,Choroid Plexus
LINC00598,46,Choroid Plexus
DST,47,Choroid Plexus
MAPK10,48,Choroid Plexus
PCAT1,49,Choroid Plexus
WWOX,50,Choroid Plexus
MYRIP,51,Choroid Plexus
THSD4,52,Choroid Plexus
SLC4A4,53,Choroid Plexus
SULF1,54,Choroid Plexus
VAT1L,55,Choroid Plexus
GOLGA4,56,Choroid Plexus
RABGAP1L,57,Choroid Plexus
MT-CO1,58,Choroid Plexus
CLIC6,59,Choroid Plexus
PNN,60,Choroid Plexus
CACNA2D3,61,Choroid Plexus
PITPNC1,62,Choroid Plexus
GPM6A,63,Choroid Plexus
LINC00276,64,Choroid Plexus
CFAP54,65,Choroid Plexus
FMNL2,66,Choroid Plexus
CUX2,67,Choroid Plexus
PIP5K1B,68,Choroid Plexus
DYNC2I1,69,Choroid Plexus
CACNB2,70,Choroid Plexus
PRDM16,71,Choroid Plexus
SLC4A10,72,Choroid Plexus
LUC7L3,73,Choroid Plexus
SLC20A2,74,Choroid Plexus
ENSG00000228655,75,Choroid Plexus
MAGI2,76,Choroid Plexus
TMEM117,77,Choroid Plexus
NFIA,78,Choroid Plexus
ENPP2,79,Choroid Plexus
MAGI1,80,Choroid Plexus
ROR2,81,Choroid Plexus
GRAMD1B,82,Choroid Plexus
FGFR2,83,Choroid Plexus
SRRM2,84,Choroid Plexus
RBM25,85,Choroid Plexus
SLC38A4-AS1,86,Choroid Plexus
NLGN1,87,Choroid Plexus
ZC3H12B,88,Choroid Plexus
SLC24A4,89,Choroid Plexus
IGFBP7,90,Choroid Plexus
TNRC6A,91,Choroid Plexus
USP9Y,92,Choroid Plexus
ZBTB20,93,Choroid Plexus
LINC00486,94,Choroid Plexus
CAMK1D,95,Choroid Plexus
TMEM72-AS1,96,Choroid Plexus
ADAM12,97,Choroid Plexus
NHSL2,98,Choroid Plexus
PLCL1,99,Choroid Plexus
IGFN1,100,Choroid Plexus
MALAT1,1,Cingulum
PCDH9,2,Cingulum
IL1RAPL1,3,Cingulum
RNF220,4,Cingulum
QKI,5,Cingulum
CTNNA3,6,Cingulum
TRIM2,7,Cingulum
DLG2,8,Cingulum
SLC44A1,9,Cingulum
RBFOX1,10,Cingulum
HSP90AA1,11,Cingulum
FMNL2,12,Cingulum
NRXN3,13,Cingulum
MAGI2,14,Cingulum
LUC7L3,15,Cingulum
PDE4B,16,Cingulum
ST18,17,Cingulum
RBM25,18,Cingulum
SLC5A11,19,Cingulum
PPP2R2B,20,Cingulum
NTM,21,Cingulum
NKAIN2,22,Cingulum
DST,23,Cingulum
MAP7,24,Cingulum
FRMD5,25,Cingulum
NEAT1,26,Cingulum
ELMO1,27,Cingulum
MOBP,28,Cingulum
MAP1B,29,Cingulum
GNG7,30,Cingulum
MAN2A1,31,Cingulum
SLC24A2,32,Cingulum
POLR2F,33,Cingulum
SIK3,34,Cingulum
PTPRD,35,Cingulum
ARGLU1,36,Cingulum
PIP4K2A,37,Cingulum
MACF1,38,Cingulum
ZBTB20,39,Cingulum
PRRC2C,40,Cingulum
FLT1,41,Cingulum
TMTC2,42,Cingulum
FRMD4B,43,Cingulum
LINC00486,44,Cingulum
PHLPP1,45,Cingulum
LSAMP,46,Cingulum
DNM3,47,Cingulum
DOCK10,48,Cingulum
MAP4K4,49,Cingulum
MBP,50,Cingulum
SRCIN1,51,Cingulum
PLCL1,52,Cingulum
DIP2B,53,Cingulum
NCAM2,54,Cingulum
AGAP1,55,Cingulum
SGIP1,56,Cingulum
FRMD4A,57,Cingulum
DOCK4,58,Cingulum
SLC7A14-AS1,59,Cingulum
ST6GALNAC3,60,Cingulum
ANK2,61,Cingulum
ANKS1B,62,Cingulum
CALD1,63,Cingulum
ADGRB3,64,Cingulum
SEPTIN7,65,Cingulum
HIP1,66,Cingulum
DPYD,67,Cingulum
ZEB2,68,Cingulum
NPAS3,69,Cingulum
PITPNC1,70,Cingulum
CLIP2,71,Cingulum
SHTN1,72,Cingulum
CLASP2,73,Cingulum
UNC5C,74,Cingulum
TJP1,75,Cingulum
RERE,76,Cingulum
NCAM1,77,Cingulum
ANK3,78,Cingulum
INSR,79,Cingulum
EDIL3,80,Cingulum
CADM2,81,Cingulum
PDE8A,82,Cingulum
KIRREL3,83,Cingulum
PALM2AKAP2,84,Cingulum
TCF12,85,Cingulum
ZSWIM6,86,Cingulum
ZNF536,87,Cingulum
NRXN1,88,Cingulum
AUTS2,89,Cingulum
TNKS,90,Cingulum
LIMCH1,91,Cingulum
MARCHF1,92,Cingulum
DLC1,93,Cingulum
PTPRG,94,Cingulum
C10ORF90,95,Cingulum
ARHGAP21,96,Cingulum
SSH2,97,Cingulum
PXK,98,Cingulum
DLG1,99,Cingulum
TMEM165,100,Cingulum
MALAT1,1,Corpus Callosum
PCDH9,2,Corpus Callosum
HSP90AA1,3,Corpus Callosum
RNF220,4,Corpus Callosum
TRIM2,5,Corpus Callosum
IL1RAPL1,6,Corpus Callosum
DST,7,Corpus Callosum
FMNL2,8,Corpus Callosum
CTNNA3,9,Corpus Callosum
QKI,10,Corpus Callosum
DLG2,11,Corpus Callosum
LUC7L3,12,Corpus Callosum
RBM25,13,Corpus Callosum
SLC44A1,14,Corpus Callosum
NRXN3,15,Corpus Callosum
LINC00486,16,Corpus Callosum
SLC5A11,17,Corpus Callosum
MAP7,18,Corpus Callosum
ST18,19,Corpus Callosum
MAGI2,20,Corpus Callosum
RBFOX1,21,Corpus Callosum
MACF1,22,Corpus Callosum
ARGLU1,23,Corpus Callosum
MAP1B,24,Corpus Callosum
MOBP,25,Corpus Callosum
SLC24A2,26,Corpus Callosum
PDE4B,27,Corpus Callosum
NKAIN2,28,Corpus Callosum
GNG7,29,Corpus Callosum
PRRC2C,30,Corpus Callosum
FRMD5,31,Corpus Callosum
ELMO1,32,Corpus Callosum
FRMD4B,33,Corpus Callosum
PPP2R2B,34,Corpus Callosum
POLR2F,35,Corpus Callosum
MAN2A1,36,Corpus Callosum
PTPRD,37,Corpus Callosum
MAP4K4,38,Corpus Callosum
NTM,39,Corpus Callosum
SIK3,40,Corpus Callosum
DOCK10,41,Corpus Callosum
ZBTB20,42,Corpus Callosum
PHLPP1,43,Corpus Callosum
DNM3,44,Corpus Callosum
MBP,45,Corpus Callosum
PIP4K2A,46,Corpus Callosum
SRCIN1,47,Corpus Callosum
NEAT1,48,Corpus Callosum
TMTC2,49,Corpus Callosum
HIP1,50,Corpus Callosum
CALD1,51,Corpus Callosum
ARHGAP21,52,Corpus Callosum
SRRM1,53,Corpus Callosum
FLT1,54,Corpus Callosum
SLC7A14-AS1,55,Corpus Callosum
AGAP1,56,Corpus Callosum
SHTN1,57,Corpus Callosum
SEPTIN7,58,Corpus Callosum
ZEB2,59,Corpus Callosum
ANKS1B,60,Corpus Callosum
PLEKHH1,61,Corpus Callosum
TNKS,62,Corpus Callosum
TNR,63,Corpus Callosum
NCAM1,64,Corpus Callosum
DIP2B,65,Corpus Callosum
PLCL1,66,Corpus Callosum
STOX2,67,Corpus Callosum
PTPRG,68,Corpus Callosum
EDIL3,69,Corpus Callosum
RORA,70,Corpus Callosum
ANK2,71,Corpus Callosum
RERE,72,Corpus Callosum
LIMCH1,73,Corpus Callosum
